name,postalCode,officeType,district,province,address,sourceUrl
"Galkadawala","50006","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galkiriyagama","50120","Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galkulama","50064","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galle","80000","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gallella","70062","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gallellagama","20095","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gallewa","60712","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galmetiyawa","31318","Sub Post Office","Trincomalee",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galmuruwa","61233","Sub Post Office","Puttalam",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galnewa","50170","Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galoya Junction","51375","Sub Post Office","Polonnaruwa",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galpatha","12005","Sub Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galpatha (Sab)","71312","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Galporuyaya","90752","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gamagoda","12016","Sub Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gambirigaswewa","50057","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gamewela","90512","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gammaduwa","21068","Sub Post Office","Matale",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gampaha","11000","Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gampola","20500","Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gandara","81170","Post Office","Matara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Ganegoda","80440","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Ganemulla","11020","Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Ganewalpola","50142","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gangala Puwakpitiya","21404","Sub Post Office","Matale",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gangeyaya","70195","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gangulandeniya","82506","Sub Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gannewa Udagama","20735","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gantuna","71222","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gawaragiriya","70026","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gawaranhena","70097","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gawarawela","90082","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gelioya","20620","Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gemunupura","50224","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Getahetta","70620","Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Getalawa","50392","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Getamanna","82420","Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gillimale","70002","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Ginigathhena","22680","Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Ginimellagaha","80220","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gintota","80280","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Girandurukotte","90750","Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Girathalana","60752","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Giritale","51026","Sub Post Office","Polonnaruwa",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Giriulla","60140","Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gnanikulam","50036","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Goda Koggalla","82104","Sub Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Godagampola","70556","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Godahena","80302","Sub Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Godakawela","70160","Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Godamunna","20214","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Godapitiya","81408","Sub Post Office","Matara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Godunna","90067","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gokarella","60522","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gomagoda","20184","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gomarankadawala","31026","Sub Post Office","Trincomalee",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gombaddala","81073","Sub Post Office","Matara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gomila Mawarala","81072","Sub Post Office","Matara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonagala","71318","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonagalapura","80502","Sub Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonagama","60005","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonagamuwa Uduwila","82602","Sub Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonaganara","91107","Sub Post Office","Moneragala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonagantenna","20712","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonagolla","32064","Sub Post Office","Ampara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonahaddenawa","50554","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonakele","22226","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonamulla Junction","80054","Sub Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonapinuwala","80230","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonapola Junction","12410","Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonawala","11630","Post Office","Gampaha","Western Province",,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonawalapatana","20656","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonawila","60170","Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gongitota","11315","Sub Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gonnoruwa","82006","Sub Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Govinna","12310","Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gunnepana","20270","Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gurubewilagama","70136","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gurudeniya","20189","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gurulubedda","12236","Sub Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Gurutalawa","90208","Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Habaraduwa","80630","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Habarakada","10204","Sub Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Habarana","50150","Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Haburugala","80506","Sub Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Haggala","22208","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hakabellawaka","71715","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hakahinna","71352","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hakmana","81300","Post Office","Matara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hakuruwela","82248","Sub Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Haldanduwana","61135","Sub Post Office","Puttalam",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Haldummulla","90180","Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halgranoya","22240","Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hali Ela","90060","Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halkandawila","12055","Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halmillawetiya","50552","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halmillawewa","60441","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halmillewa Dambulla","50124","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Haloluwa","20032","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Haloya","20515","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halpe","70145","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Haltota","12538","Sub Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halvitigala Colony","80146","Sub Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halwala","12118","Sub Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halwatura","12306","Sub Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Halwinna","70171","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hambantota","82000","Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hambegamuwa","91308","Sub Post Office","Moneragala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Handaganawa","20984","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Handagiriya","70106","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Handapangoda","10524","Sub Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Handawalapitiya","20438","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Handessa","20480","Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Handugala","81326","Sub Post Office","Matara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Handungamuwa","21536","Sub Post Office","Matale",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hangarapitiya","22044","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hangunnawa","90224","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hanguranketha","20710","Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hansayapalama","51098","Sub Post Office","Polonnaruwa",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hanwella","10650","Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hapugastalawa","22668","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hapugastenna","70164","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Haputale","90160","Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Harangalagama","22669","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Harankahawa","20092","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Harasbedda","22262","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hasalaka","20960","Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hatangala","70105","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hatarabage","70108","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hataraliyadda","20060","Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hathporuwa","82013","Sub Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hatton","22000","Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hattota Amuna","21514","Sub Post Office","Matale",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Havelock Town","00500","Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hawpe","80132","Sub Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hebarawa","90724","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hebbekanda","22683","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hedigalla Colony","12234","Sub Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hedunuwewa","22024","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Heeloya","90112","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Heiyanthuduwa","11618","Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Helahalpe","90122","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Helamada","71046","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Helapupula","90094","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hemmatagama","71530","Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hendala","11307","Sub Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Henegama","11715","Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hengamuwa","60414","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hettikanda","70058","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hettimulla","71210","Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hettipola","60430","Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hewadiwela","71108","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hewaheta","20440","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hewainna","10714","Sub Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hewanakumbura","90358","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hewanwatta","90607","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hidellana","70012","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hidogama","50044","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hikkaduwa","80240","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hilogama","60486","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hinatiyana Madawala","11568","Sub Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hindagala","20414","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hindagolla","60034","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hingula","71520","Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hingurakdamana","51408","Sub Post Office","Polonnaruwa",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hingurakgoda","51400","Post Office","Polonnaruwa",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hinguralakanda","71417","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hingurana","32010","Post Office","Ampara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hingurukaduwa","90508","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiniduma","80080","Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiramadagama","70296","Sub Post Office","Ratnapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiripitiya","10232","Sub Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiriwadunna","71014","Sub Post Office","Kegalle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiriyala Ambagaswewa","60591","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiriyala Lenawa","60546","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiruwalpola","60458","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiswella","11734","Sub Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hitigegama","22046","Sub Post Office","Nuwara Eliya",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hiyare","80056","Sub Post Office","Galle",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hokandara","10118","Sub Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Homagama","10200","Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hondiyadeniya","20524","Sub Post Office","Kandy",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hopton","90524","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horadorowwa","90163","Sub Post Office","Badulla",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horagala","10502","Sub Post Office","Colombo",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horampella","11564","Post Office","Gampaha",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horana","12400","Post Office","Kalutara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horapawita","81108","Sub Post Office","Matara",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horawpatana","50350","Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horewelagoda","82456","Sub Post Office","Hambantota",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horiwila","50222","Sub Post Office","Anuradhapura",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Horombawa","60181","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hulandawa","91004","Sub Post Office","Moneragala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hulannuge","32514","Sub Post Office",,,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
"Hulogedara","60474","Sub Post Office","Kurunegala",,,"https://slpost.gov.lk/wp-content/uploads/2022/11/POST-CODE-BOOK-.pdf"
